"n_tested","pct_survive","mean_raw","mean_adj","mean_atten"
256,10.546875,0.128779429274998,0.142241490484,-0.0134620612090025
256,7.421875,0.140559925118106,0.126703861100629,0.0138560640174771
256,3.125,0.0995155554867417,0.110839631533177,-0.0113240760464356
256,5.078125,0.129358917928686,0.1214908599747,0.00786805795398635
256,6.640625,0.130968049048717,0.13753655640672,-0.00656850735800281
256,3.125,0.0970660733968123,0.113625424065032,-0.0165593506682196
256,9.765625,0.122721383102832,0.147840326090143,-0.0251189429873107
256,10.15625,0.133165559059311,0.137546278125086,-0.00438071906577429
256,5.078125,0.112173088502743,0.118555427299577,-0.00638233879683367
256,5.46875,0.108891823081667,0.123440500308642,-0.0145486772269757
256,6.640625,0.129856045941088,0.120019088758644,0.00983695718244443
256,12.890625,0.133243726535151,0.151487110200328,-0.0182433836651765
256,6.25,0.113505325928011,0.123371007515356,-0.00986568158734516
256,10.9375,0.13829455578893,0.145557354712295,-0.00726279892336508
256,5.078125,0.120002330212057,0.106765756973314,0.0132365732387428
256,7.03125,0.107843586517641,0.129665504151586,-0.0218219176339453
256,8.984375,0.101980883117257,0.119356915209329,-0.0173760320920723
256,8.984375,0.109045957149655,0.12049686232589,-0.0114509051762358
256,10.15625,0.116792288746817,0.139681809769642,-0.0228895210228256
256,7.421875,0.120967843723308,0.144033363179676,-0.0230655194563678
256,4.6875,0.110285715617235,0.107556869985253,0.00272884563198204
256,7.03125,0.0904074707061371,0.126870464717865,-0.0364629940117275
256,4.6875,0.10243574190839,0.116951796153065,-0.0145160542446747
256,11.328125,0.115493129576974,0.143874162492473,-0.028381032915499
256,5.46875,0.115832493770153,0.121937931948746,-0.00610543817859305
256,7.03125,0.106945549414353,0.117595253871826,-0.0106497044574735
256,3.125,0.122192656964254,0.129251859060774,-0.00705920209651965
256,5.078125,0.114393984185086,0.110581350361263,0.0038126338238227
256,6.25,0.117309408359178,0.136052478559049,-0.0187430701998709
256,5.46875,0.121014401759716,0.120110406980721,0.00090399477899517
256,1.953125,0.0946516403240648,0.112344709995692,-0.0176930696716276
256,10.546875,0.13178047463058,0.142471980395358,-0.0106915057647787
256,8.203125,0.111866767688688,0.130852991599976,-0.0189862239112881
256,12.5,0.135486323416319,0.1587467054187,-0.0232603820023817
256,7.421875,0.130783781827683,0.11345475124135,0.0173290305863325
256,8.59375,0.120740239069513,0.133639967991582,-0.012899728922069
256,7.421875,0.0971323541773464,0.13906156453126,-0.0419292103539132
256,4.296875,0.116350593062245,0.111888465588181,0.00446212747406387
256,7.421875,0.12177420375785,0.141433796043412,-0.0196595922855616
256,4.6875,0.116868508504979,0.111822970816993,0.00504553768798613
256,5.46875,0.106691136454691,0.111681863908112,-0.00499072745342131
256,9.765625,0.114517580492148,0.126768325844004,-0.0122507453518562
256,8.984375,0.1152309620434,0.153958866876725,-0.0387279048333249
256,7.421875,0.108343218411964,0.123920777704592,-0.0155775592926285
256,5.859375,0.105397244563231,0.114242330601367,-0.00884508603813631
256,3.515625,0.107018670988328,0.0968109108571343,0.0102077601311933
256,6.25,0.114522437987998,0.123560212622581,-0.0090377746345834
256,7.03125,0.100765967272308,0.129606779106113,-0.0288408118338053
256,7.03125,0.132434858418618,0.128171857431207,0.00426300098741078
256,5.859375,0.0902234852475045,0.106212653497031,-0.0159891682495265
256,5.859375,0.118923544218764,0.123367163733778,-0.00444361951501368
256,6.25,0.133265884442986,0.134297513194343,-0.00103162875135746
256,8.203125,0.123811751553349,0.137646540428355,-0.0138347888750063
256,9.765625,0.129459802168033,0.144128397845169,-0.0146685956771355
256,8.59375,0.115268257052789,0.11769711844923,-0.00242886139644134
256,7.421875,0.113923015296488,0.123744041090573,-0.00982102579408494
256,10.546875,0.122643417757962,0.14281734271945,-0.0201739249614878
256,7.421875,0.103480216249407,0.128041723982857,-0.0245615077334499
256,4.296875,0.106178482037468,0.10689660968511,-0.000718127647641481
256,2.34375,0.111209042483038,0.111500718494537,-0.000291676011499051
256,10.9375,0.112180381495818,0.132907097594519,-0.0207267160987009
256,3.125,0.098250059946652,0.116891462176868,-0.0186414022302165
256,6.640625,0.107683247466671,0.130719594915426,-0.0230363474487545
256,2.734375,0.0855323530231907,0.104389321373479,-0.0188569683502878
256,12.109375,0.138305855671957,0.146125611254043,-0.00781975558208591
256,6.640625,0.113409056914277,0.141268031930872,-0.0278589750165945
256,5.46875,0.135734578211628,0.134879474681573,0.000855103530054264
256,4.6875,0.129760694458915,0.119168966261992,0.0105917281969224
256,3.125,0.124858794358352,0.120302284689296,0.0045565096690569
256,5.859375,0.116425724604376,0.13672536123341,-0.0202996366290342
256,10.546875,0.105073440773809,0.146588629180898,-0.0415151884070885
256,6.640625,0.111081567610306,0.118631435135584,-0.0075498675252783
256,4.296875,0.11339332997708,0.120937689199236,-0.00754435922215667
256,4.6875,0.10649213146658,0.125018295716786,-0.0185261642502054
256,8.59375,0.121913207581683,0.139464664920108,-0.0175514573384243
256,5.078125,0.111648431459321,0.123017969097409,-0.0113695376380878
256,11.71875,0.138337031593237,0.148014703890263,-0.00967767229702642
256,9.375,0.120558439033434,0.129509368393111,-0.00895092935967729
256,5.859375,0.124750130934027,0.134597949027277,-0.00984781809325008
256,5.859375,0.12009888148699,0.135875605390275,-0.0157767239032858
256,9.765625,0.128702895578002,0.150950986332013,-0.0222480907540117
256,8.984375,0.111787071004337,0.130728599383035,-0.0189415283786976
256,5.859375,0.119548081576044,0.127417214470663,-0.00786913289461874
256,6.25,0.112428328356359,0.121955402234895,-0.00952707387853646
256,6.25,0.10747601427087,0.112534818072634,-0.00505880380176398
256,6.640625,0.121391489228229,0.127774198064529,-0.00638270883630004
256,8.984375,0.116800748772831,0.136599473154883,-0.0197987243820525
256,6.640625,0.122404350895497,0.118676617410761,0.00372773348473597
256,11.328125,0.136471890321583,0.139962270150762,-0.00349037982917905
256,1.171875,0.105181225406496,0.107934529108102,-0.00275330370160563
256,5.078125,0.115613292705952,0.115032585157795,0.000580707548156515
256,4.6875,0.108116840043093,0.118955173546147,-0.010838333503054
256,3.125,0.100338694509398,0.110452413598819,-0.0101137190894211
256,5.46875,0.138133335445954,0.129360779469808,0.00877255597614671
256,7.8125,0.150943834688661,0.140957976910815,0.00998585777784613
256,11.71875,0.114539840450389,0.141002905473521,-0.0264630650231312
