"component","variance_pct","null_95_pct"
"PC1",21.7,7.78
"PC2",12.35,7.44
"PC3",8.97,7.22
"PC4",7.2,7.04
"PC5",6.63,6.87
"PC6",6.08,6.71
"PC7",5.65,6.57
"PC8",5.18,6.41
"PC9",4.67,6.28
"PC10",4.25,6.14
"PC11",3.86,5.99
"PC12",3.76,5.86
"PC13",3.3,5.73
"PC14",2.59,5.57
"PC15",2.22,5.4
"PC16",1.58,5.25
