"gene","n_pairs","median_diff","paired_p","unpaired_p","paired_FDR"
"GSTM5",109,-2.569,1.29988158804224e-17,3.30187380422215e-25,3.2497039701056e-17
"GSTM2",109,-1.799,1.73243595382742e-18,5.47029426484641e-25,8.66217976913709e-18
"GSTA1",109,-2.304,1.10148913146671e-13,3.52300899940359e-15,1.83581521911118e-13
"MGST1",109,-0.463,1.26790471336058e-05,1.10795637412089e-05,1.26790471336058e-05
"GSTA4",109,-0.61,4.73543455437474e-07,1.62263627634721e-08,5.91929319296843e-07
