"n_tested","n_survive","pct_survive","mean_atten","mean_raw","mean_adj"
256,23,8.984375,-0.0203672146786503,0.116081610664976,0.136448825343626
256,29,11.328125,0.00360079500254626,0.128906826743966,0.12530603174142
256,18,7.03125,0.0099777159073539,0.1503707414517,0.140393025544346
256,22,8.59375,-0.0426823611944867,0.107357100298475,0.150039461492962
256,25,9.765625,-0.0275986834276106,0.106614939774678,0.134213623202289
256,13,5.078125,-0.0192923201014618,0.116591377909625,0.135883698011087
256,15,5.859375,-0.0474167150864569,0.0886042231317777,0.136020938218235
256,23,8.984375,-0.0109283877908526,0.123683471006272,0.134611858797124
256,12,4.6875,0.0232171824438921,0.15596144444232,0.132744261998428
256,9,3.515625,-0.0241149828080287,0.0928933974544906,0.117008380262519
256,13,5.078125,0.0119464372353553,0.149730082638706,0.137783645403351
256,19,7.421875,0.0210966054126729,0.145410544545753,0.124313939133081
256,10,3.90625,0.00636405680440946,0.108912336018513,0.102548279214103
256,18,7.03125,0.0143927157875688,0.145663664537497,0.131270948749928
256,26,10.15625,-0.0227677672203276,0.111731658186121,0.134499425406448
256,17,6.640625,0.000308477545677357,0.121458371197861,0.121149893652183
256,13,5.078125,0.0120218389373267,0.13448556811927,0.122463729181943
256,17,6.640625,0.0214650849980224,0.129588842591399,0.108123757593376
256,20,7.8125,0.0108634361403318,0.141558695620849,0.130695259480517
256,20,7.8125,-0.0353919777333696,0.0985051860569942,0.133897163790364
256,28,10.9375,-0.010667636942225,0.125337293823995,0.13600493076622
256,6,2.34375,0.0100530003480235,0.113461469965754,0.103408469617731
256,7,2.734375,-0.00574666120412216,0.098934502512047,0.104681163716169
256,18,7.03125,-0.0293744224827927,0.104202321375428,0.133576743858221
256,18,7.03125,0.00628997358550654,0.129163119030325,0.122873145444818
256,17,6.640625,0.00100815816980624,0.124939153906579,0.123930995736773
256,30,11.71875,0.0167571187457961,0.160524717534357,0.143767598788561
256,17,6.640625,0.0208738363118284,0.151071307435904,0.130197471124075
256,14,5.46875,-0.0170419177738915,0.117799742519428,0.134841660293319
256,21,8.203125,0.024857192158727,0.147761294596621,0.122904102437894
256,10,3.90625,0.0207245902610045,0.133644040377442,0.112919450116438
256,16,6.25,0.0514841846520514,0.172352874173786,0.120868689521734
256,24,9.375,0.00629929764616709,0.153429154618745,0.147129856972578
256,14,5.46875,0.0191154435071147,0.132691339131865,0.11357589562475
256,7,2.734375,0.0100800969804547,0.112440506787993,0.102360409807538
256,20,7.8125,0.00597043566245432,0.131089902089818,0.125119466427364
256,12,4.6875,0.0151957229933072,0.132642572555458,0.117446849562151
256,29,11.328125,-0.027599100154843,0.114564881216161,0.142163981371004
256,11,4.296875,-0.000215177892868313,0.109381696492863,0.109596874385731
256,12,4.6875,-0.0173946182690941,0.112683250288124,0.130077868557218
256,19,7.421875,0.00181443267421381,0.122864158911203,0.121049726236989
256,9,3.515625,-0.00488696610095363,0.114296231007637,0.119183197108591
256,17,6.640625,0.0216009441627864,0.141831877224653,0.120230933061867
256,9,3.515625,-0.00481839792673627,0.108977069513597,0.113795467440333
256,16,6.25,0.0168413760889635,0.145860003190364,0.129018627101401
256,14,5.46875,-0.00165397136088597,0.114193069397894,0.11584704075878
256,32,12.5,-0.00954541888511863,0.140729390094704,0.150274808979822
256,16,6.25,-0.00928153327467164,0.120091662768292,0.129373196042964
256,15,5.859375,0.00491785893855988,0.138737842264471,0.133819983325911
256,22,8.59375,-0.0300326924775617,0.109586318221712,0.139619010699274
256,15,5.859375,-0.000484465714817021,0.12250287667363,0.122987342388447
256,15,5.859375,0.00661244618701411,0.128501810615934,0.12188936442892
256,14,5.46875,0.0191956394367348,0.140770175098722,0.121574535661987
256,21,8.203125,0.00499973113414891,0.130055137480551,0.125055406346402
256,19,7.421875,0.00162705251688597,0.129876627561916,0.12824957504503
256,27,10.546875,-0.000882611992521531,0.142852087672901,0.143734699665423
256,19,7.421875,-0.0352199966939514,0.104623167020241,0.139843163714192
256,12,4.6875,0.0358978979830458,0.139914781755046,0.104016883772
256,12,4.6875,0.0262278517456925,0.144153992849906,0.117926141104213
256,16,6.25,0.0068547453795362,0.138906830811498,0.132052085431962
256,13,5.078125,0.0186210926807133,0.123810642464218,0.105189549783505
256,20,7.8125,-0.00730026132954182,0.124225354065057,0.131525615394599
256,15,5.859375,-0.00178586159602928,0.117172543864919,0.118958405460948
256,16,6.25,0.00917435096614039,0.137329740418634,0.128155389452493
256,16,6.25,-0.0310183203353004,0.10865077283458,0.139669093169881
256,19,7.421875,-0.0112083470262274,0.117631626530521,0.128839973556749
256,25,9.765625,0.0231565942831716,0.155486525310806,0.132329931027635
256,19,7.421875,-0.00826033860253396,0.129747043618653,0.138007382221187
256,15,5.859375,0.0269609129003778,0.141393870765996,0.114432957865619
256,20,7.8125,-0.0223961079105689,0.102424971305543,0.124821079216112
256,17,6.640625,0.00135016762360077,0.120016646436486,0.118666478812886
256,16,6.25,0.0287787381213783,0.133885259668128,0.10510652154675
256,15,5.859375,0.00297483718617987,0.129630235057265,0.126655397871085
256,21,8.203125,-0.0129929573582007,0.118968722314203,0.131961679672403
256,4,1.5625,0.019452435917912,0.135509888464114,0.116057452546202
256,23,8.984375,-0.00109299533443269,0.131243287571135,0.132336282905568
256,18,7.03125,0.000773257238389444,0.127316346608859,0.12654308937047
256,32,12.5,-0.0290756313725047,0.115688861502395,0.1447644928749
256,12,4.6875,0.0103793873492263,0.117109044536466,0.10672965718724
256,13,5.078125,-0.011048926144423,0.122462414269796,0.133511340414219
256,10,3.90625,0.00968347854048596,0.121232953832218,0.111549475291732
256,23,8.984375,0.0378910813106206,0.177182916721987,0.139291835411366
256,11,4.296875,0.0221176033125813,0.127970346884035,0.105852743571454
256,11,4.296875,0.0430027646087026,0.163892735258458,0.120889970649755
256,25,9.765625,-0.00858254002323835,0.134512319036117,0.143094859059356
256,16,6.25,0.00289917931886142,0.119192003564512,0.116292824245651
256,17,6.640625,-0.00805987932386432,0.116004165955689,0.124064045279554
